,words
1396,dube
1397,dubs
1398,ducats
1399,duckbutter
1400,duckface
1401,ducking
1402,dude
1403,dudette
1404,duds
1405,due dil
1406,due dill
1407,dugg
1408,duh
1409,Dullsville
1410,dumb as a box of rocks
1411,dumb as a brick
1412,dumb as dog shit
1413,dumb brick
1414,dumbfuck
1415,dumb-fuck
1416,dump
1417,dumpster fire
1418,dunlop
1419,dunno
1420,dunzo
1421,dupe
1422,dur
1423,dust
1424,dustup
1425,Dutchie
1426,Dutch Oven
1427,dweeb
1428,e-
1429,earboob
1430,early bird
1431,earn (one's) red wings
1432,earworm
1433,East Bumblefuck
1434,East Butt-fuck
1435,Easter egg
1436,easy as pie
1437,easy on the eyes
1438,easy-peasy
1439,"easy peasy, lemon squeezy"
1440,eat humble pie
1441,eat me
1442,eat (one's) gun
1443,eat paint chips as a kid
1444,eats
1445,ecohacking
1446,eejit
1447,ef
1448,eff
1449,eff off
1450,egg
1451,ego surf
1452,Egypt
1453,Eiffel Tower
1454,eight ball
1455,eight figure
1456,Einstein
1457,elite
1458,'em
1459,emo
1460,empty-nester
1461,end of
1462,ent
1463,EOB
1464,EOD
1465,EOF
1466,EOM
1467,epi
1468,equal opportunity offender
1469,equipment
1470,errand boy
1471,errbody
1472,errday
1473,erryday
1474,ersatz
1475,escort
1476,ese
1477,e-tard
1478,e-ticket ride
1479,everything
1480,evo-devo
1481,ew
1482,eww
1483,ex
1484,expiry
1485,eye
1486,eyeball
1487,eyeballs
1488,eye broccoli
1489,eye candy
1490,eye-fuck
1491,eye-opener
1492,F2F
1493,F2P
1494,f4f
1495,Facebook official
1496,faceplant
1497,face time
1498,facialize
1499,faded
1500,faff
1501,faggot
1502,fag hag
1503,fail
1504,Fairy
1505,fall for
1506,fall head over heels
1507,fall in like
1508,false
1509,fam
1510,family jewels
1511,famously
1512,"fam, the"
1513,fanboi
1514,fanboy
1515,fancy
1516,fancy-pants
1517,fancy schmancy
1518,fan-fucking-tastic
1519,fantabulous
1520,fap
1521,FAQ
1522,farging icehole
1523,farklempt
1524,far out
1525,fart
1526,fart face
1527,fart-knocker
1528,fashy
1529,faster than shit through a goose
1530,fast food
1531,fast-track
1532,fat
1533,fat-ass
1534,fat dick
1535,fatso
1536,fatty
1537,faux hawk
1538,fav
1539,fave
1540,f-bomb
1541,feast (one's) eyes
1542,feature creep
1543,fecker
1544,fed
1545,fed up to (one's) eyebrows
1546,feeder
1547,feed the meter
1548,feel goodery
1549,feel-good hit of the summer
1550,feel like a million bucks
1551,feel like a million dollars
